City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
366,Raga,8.46,25.68,58.33,35,2,3.69,SS,clear sky,2020-12-18 03:40:09
367,Aquiraz,-3.9,-38.39,80.6,83,40,10.29,BR,scattered clouds,2020-12-18 03:40:09
368,Latung,5.5,120.88,82.11,80,56,15.88,PH,light rain,2020-12-18 03:40:09
369,Dongkan,34.0,119.83,44.24,56,95,10.2,CN,overcast clouds,2020-12-18 03:40:10
370,Saint-Joseph,-21.37,55.62,77.0,78,90,5.82,RE,overcast clouds,2020-12-18 03:40:10
371,Narsaq,60.92,-46.05,30.2,54,13,8.05,GL,few clouds,2020-12-18 03:40:10
372,Selenduma,50.91,106.24,-0.35,84,41,5.06,RU,scattered clouds,2020-12-18 03:40:10
373,Ilhabela,-23.78,-45.36,75.2,87,100,3.56,BR,overcast clouds,2020-12-18 03:40:10
374,Bac Lieu,9.29,105.72,84.04,69,76,7.81,VN,broken clouds,2020-12-18 03:40:10
375,Noumea,-22.28,166.46,84.2,54,90,21.92,NC,overcast clouds,2020-12-18 03:39:30
376,Karasjok,69.47,25.51,8.6,78,68,43.62,NO,broken clouds,2020-12-18 03:40:11
377,Butte,39.65,-121.57,48.2,81,1,4.7,US,clear sky,2020-12-18 03:40:11
378,Alamosa,37.47,-105.87,3.2,91,1,5.82,US,clear sky,2020-12-18 03:40:11
379,Harper,4.38,-7.72,78.53,86,14,9.26,LR,moderate rain,2020-12-18 03:40:11
380,Shizunai,42.33,142.37,33.31,83,78,22.59,JP,broken clouds,2020-12-18 03:40:11
381,Pella,59.78,30.82,30.99,92,90,8.95,RU,overcast clouds,2020-12-18 03:40:11
382,Asau,46.43,26.4,36.0,100,90,3.36,RO,overcast clouds,2020-12-18 03:40:11
383,Sao Filipe,14.9,-24.5,72.73,72,50,12.82,CV,scattered clouds,2020-12-18 03:40:12
384,Sindor,62.86,51.89,3.69,94,51,5.97,RU,broken clouds,2020-12-18 03:40:12
385,Baherden,38.44,57.43,41.16,66,100,1.68,TM,overcast clouds,2020-12-18 03:40:12
386,Niquelandia,-14.47,-48.46,72.88,76,89,2.3,BR,overcast clouds,2020-12-18 03:40:12
387,Bilma,18.69,12.92,61.21,32,0,8.84,NE,clear sky,2020-12-18 03:40:12
388,Mahibadhoo,3.78,72.97,82.36,71,11,6.15,MV,few clouds,2020-12-18 03:40:12
389,Cayenne,4.93,-52.33,75.2,100,100,18.34,GF,mist,2020-12-18 03:40:12
390,Ambulu,-8.35,113.61,77.23,88,96,2.24,ID,overcast clouds,2020-12-18 03:40:13
391,Vestmannaeyjar,63.44,-20.27,41.83,72,86,12.21,IS,overcast clouds,2020-12-18 03:40:13
392,Hamadan,34.8,48.51,34.0,89,2,2.37,IR,clear sky,2020-12-18 03:40:13
393,Oranjemund,-28.55,16.43,61.27,88,78,9.4,NA,broken clouds,2020-12-18 03:40:13
394,Awjilah,29.11,21.29,52.97,81,100,6.13,LY,overcast clouds,2020-12-18 03:40:13
395,Itarema,-2.92,-39.92,79.29,81,63,11.83,BR,broken clouds,2020-12-18 03:40:13
396,Clyde River,70.47,-68.59,-16.6,82,1,5.82,CA,clear sky,2020-12-18 03:40:14
